Tipo,Precio_USD,Ubicacion,Habitaciones,Banos,M2,Estado,Fuente,URL,Agregado
apartamento,,Maracaibo - La Virginia,4,,450.0,sent,instagram,https://www.instagram.com/p/DVCXRbMEp3k/,2026-02-22 01:02:27
apartamento,,Zulia,3,,300.0,sent,instagram,https://www.instagram.com/p/DUuEu4dDXyC/,2026-02-21 13:03:08
casa,,Zulia,4,4,400.0,sent,instagram,https://www.instagram.com/p/DUykB5Zkh2l/,2026-02-21 13:03:08
casa,,Maracaibo - Pomona,3,3,363.0,sent,instagram,https://www.instagram.com/p/DUYvVjHkb50/,2026-02-20 19:02:59
terreno,,Maracaibo - Alí Primera,,,900.0,sent,instagram,https://www.instagram.com/p/DUoOHOLknkj/,2026-02-20 19:02:59
casa,,Caracas,,,420.0,sent,instagram,https://www.instagram.com/p/DUraojujqbC/,2026-02-20 19:02:59
apartamento,,Caracas,1,,,sent,instagram,https://www.instagram.com/p/DUt5-D2jo5u/,2026-02-20 19:02:59
townhouse,,Maracaibo - Panamericano,,,98.0,sent,instagram,https://www.instagram.com/p/DU0sGsjDsnR/,2026-02-20 19:02:59
apartamento,,Maracaibo - Lago Mar Beach,3,4,200.0,sent,instagram,https://www.instagram.com/p/DU05DBIETxh/,2026-02-20 19:02:59
apartamento,,Maracaibo - Banco Mara,3,4,231.0,sent,instagram,https://www.instagram.com/p/DU5ld5JAMIG/,2026-02-20 19:02:59
apartamento,,Zulia,2,1,,sent,instagram,https://www.instagram.com/p/DU7BH2oje5y/,2026-02-20 19:02:59
apartamento,,Zulia,2,,100.0,sold,instagram,https://www.instagram.com/p/DU8P9uQgBa9/,2026-02-20 19:02:59
casa,,Maracaibo - Virginia,3,,440.0,sent,instagram,https://www.instagram.com/p/DUdtmhXFfsP/,2026-02-20 19:02:59
apartamento,,Maracaibo - El Milagro,,,303.0,sent,instagram,https://www.instagram.com/p/DUgHgfQFa6b/,2026-02-20 19:02:59
